asset,entry_time,method,stop_pct,trades,gross_pnl,fees,net_pnl,avg_pnl,median_pnl,win_rate,avg_profitable_trade,avg_losing_trade,payoff_ratio,profit_factor,sharpe_daily_annualized,max_drawdown,max_drawdown_duration_days,max_drawdown_duration_trades,max_drawdown_date,recovery_date,recovered,max_consecutive_wins,max_consecutive_losses,best_trade,worst_trade,cvar_95
BTC,13:15,leg_both,100,191,741.03,890.06,-149.03,-0.7803,-8.9667,0.3298,44.4357,-23.035,1.9291,0.9495,-0.3586,832.14,149,149,2026-04-07,,False,4,14,160.61,-173.63,-66.97
BTC,13:15,leg_both,150,191,855.12,853.37,1.76,0.0092,-11.4064,0.4188,47.6409,-34.3199,1.3881,1.0005,0.0036,790.44,149,149,2026-06-23,,False,5,7,160.61,-173.63,-83.75
BTC,13:15,leg_independent,50,191,961.38,931.72,29.66,0.1553,5.7256,0.623,21.2977,-34.7884,0.6122,1.0118,0.0725,601.17,156,156,2026-04-20,,False,8,3,120.08,-282.09,-105.72
BTC,13:15,leg_independent,100,191,908.97,869.22,39.75,0.2081,-3.6349,0.445,35.7273,-28.2742,1.2636,1.0133,0.0877,1020.45,149,149,2026-04-07,,False,6,10,160.61,-173.63,-102.98
BTC,13:15,leg_independent,150,191,930.07,841.71,88.37,0.4627,-5.8695,0.445,45.1312,-35.3565,1.2765,1.0236,0.1719,840.75,149,149,2026-06-23,,False,5,7,160.61,-173.63,-105.9
BTC,13:30,combined,50,191,-361.01,836.91,-1197.92,-6.2718,-12.1436,0.4503,44.1822,-47.5961,0.9283,0.7603,-2.1956,1292.1,149,149,2026-06-26,,False,6,5,166.35,-178.05,-93.54
BTC,13:30,combined,100,191,-248.92,822.32,-1071.24,-5.6086,5.4364,0.534,42.51,-60.7557,0.6997,0.8019,-1.6723,1345.58,149,149,2026-07-10,,False,8,4,166.35,-179.99,-137.18
BTC,13:30,combined,150,191,-336.78,820.65,-1157.43,-6.0599,6.1702,0.555,41.4394,-65.2943,0.6347,0.7915,-1.6104,1560.12,153,153,2026-07-10,,False,8,4,166.35,-323.97,-193.98
BTC,13:30,leg_both,50,191,639.71,978.97,-339.26,-1.7762,-6.0748,0.2775,19.7394,-10.0395,1.9662,0.7551,-1.7484,339.26,190,191,2026-07-10,,False,4,13,111.96,-29.1,-24.6
BTC,13:30,leg_both,100,191,400.02,886.71,-486.69,-2.5481,-12.5632,0.3141,41.7803,-22.8512,1.8284,0.8374,-1.2249,691.39,149,149,2026-05-20,,False,7,10,152.45,-178.05,-67.46
BTC,13:30,leg_both,150,191,471.33,851.41,-380.08,-1.99,-9.2713,0.4188,43.3086,-34.6376,1.2503,0.9011,-0.7769,817.66,149,149,2026-06-26,,False,6,5,166.35,-178.05,-84.67
BTC,13:30,leg_independent,50,191,759.91,924.32,-164.41,-0.8608,5.6723,0.5864,20.9615,-31.7988,0.6592,0.9346,-0.4233,650.83,135,135,2026-03-23,,False,11,4,111.96,-283.43,-100.91
BTC,13:30,leg_independent,100,191,701.87,862.64,-160.77,-0.8417,-6.3519,0.4188,34.7504,-26.4937,1.3116,0.9453,-0.3735,617.95,149,149,2026-06-24,,False,8,7,152.45,-178.05,-98.77
BTC,13:30,leg_independent,150,191,638.34,837.75,-199.41,-1.044,-6.4648,0.4503,41.0038,-35.4832,1.1556,0.9465,-0.3971,797.47,149,149,2026-06-22,,False,6,4,166.35,-178.05,-99.74
BTC,13:45,combined,50,191,66.22,824.02,-757.8,-3.9675,1.1191,0.5079,38.257,-47.5396,0.8047,0.8304,-1.5333,891.28,190,191,2026-06-26,,False,6,7,132.51,-135.93,-83.15
BTC,13:45,combined,100,191,47.28,807.04,-759.76,-3.9778,12.8599,0.6021,37.8236,-67.23,0.5626,0.8513,-1.2105,1333.07,153,153,2026-05-26,,False,8,5,132.51,-287.66,-144.92
BTC,13:45,combined,150,191,-225.86,802.42,-1028.28,-5.3836,13.252,0.6178,37.9398,-75.4133,0.5031,0.8132,-1.4521,1936.76,153,153,2026-05-26,,False,8,5,132.51,-287.66,-190.31
BTC,13:45,leg_both,50,191,487.43,955.55,-468.13,-2.4509,-5.8016,0.3455,15.0198,-11.6754,1.2864,0.6792,-2.2862,468.13,190,191,2026-07-10,,False,4,9,132.51,-38.86,-30.01
BTC,13:45,leg_both,100,191,670.41,871.0,-200.59,-1.0502,-8.4413,0.3874,33.3986,-22.8384,1.4624,0.9249,-0.568,461.51,155,155,2026-04-21,2026-06-05,True,6,9,132.51,-68.83,-55.6
BTC,13:45,leg_both,150,191,531.52,837.76,-306.24,-1.6033,-3.5403,0.4764,37.086,-36.8106,1.0075,0.9168,-0.6708,555.73,149,149,2026-06-26,,False,6,7,132.51,-135.93,-85.14
BTC,13:45,leg_independent,50,191,429.55,910.47,-480.92,-2.5179,2.5181,0.555,20.9679,-31.8061,0.6592,0.8221,-1.2665,636.39,158,158,2026-07-04,,False,6,6,132.51,-233.67,-96.6
BTC,13:45,leg_independent,100,191,701.45,849.11,-147.66,-0.7731,-0.5931,0.4974,29.5435,-30.7738,0.96,0.95,-0.3407,579.77,164,164,2026-04-24,,False,6,9,132.51,-274.38,-103.25
