group_type,group,observations,mean_premium,median_premium,mean_premium_pct_spot,mean_smaller_leg_share,wins,win_probability,win_probability_ci95_low,win_probability_ci95_high,net_pnl,expectancy,median_pnl,avg_win,avg_loss,profit_factor,max_drawdown,stop_rate,mean_return_on_credit,pnl_2025,avg_pnl_2025,win_rate_2025,pnl_2026,avg_pnl_2026,win_rate_2026
premium_quintile,Q2_109.81_140.37,111,125.00662927292252,123.79851919845,0.001489418120599497,0.22507385210351077,73,0.6576576576576577,0.5654402975469389,0.7393273127963514,365.12130546960896,3.289381130356838,4.810536393505752,10.56834319198995,-10.69388809330677,1.8984997152821192,74.8225389637768,0.15315315315315314,0.12822621747933396,257.64270817260507,5.152854163452102,0.74,107.47859729700392,1.7619442179836704,0.5901639344262295
premium_quintile,Q3_140.37_180.39,111,159.8023166051928,159.30867872575,0.0016688612865909422,0.19342725003038833,74,0.6666666666666666,0.5746929345584374,0.7474899678044694,531.7272900342322,4.790335946254346,7.091018682473118,12.84542107155714,-11.319834304351243,2.2695422434972348,67.06537790916491,0.06306306306306306,0.15493858566908678,550.9002546410621,6.053848952099587,0.7142857142857143,-19.172964606830032,-0.9586482303415008,0.45
premium_quintile,Q4_180.39_223.33,111,200.30101646010496,199.0319940658,0.0021363580735598844,0.2255209340027894,73,0.6576576576576577,0.5654402975469389,0.7393273127963514,559.1742162460664,5.037605551766362,7.162927281544009,16.382544648406515,-16.756619554937092,1.8781670375459627,91.09779754240168,0.14414414414414414,0.12388149957451981,603.2962741778107,6.418045469976709,0.6914893617021277,-44.1220579317445,-2.595415172455559,0.47058823529411764
premium_quintile,Q5_223.33_inf,111,293.1345994287626,264.3572235808,0.0031621691622724215,0.3202176374640186,89,0.8018018018018018,0.7181000473756158,0.8653122352815399,2518.090140627762,22.685496762412274,25.15102670309193,31.767458158711072,-14.055165249887418,9.143528782539516,68.28932743111181,0.02702702702702703,0.38117012427287067,2340.8573949360875,23.886299948327427,0.8163265306122449,177.23274569167447,13.633288130128808,0.6923076923076923
premium_pct_spot_quintile,Q1_-inf_0.001228,112,94.78133194202098,92.5757405536,0.0010002226950017498,0.2822320629197961,80,0.7142857142857143,0.6246060903274925,0.7897528273670146,387.79842338573985,3.462485923086962,5.836025745032276,8.591973182176446,-9.361232224636746,2.294562557577682,46.21511506397019,0.13392857142857142,0.1778214406276981,259.7390229782882,4.122841634576003,0.746031746031746,128.05940040745162,2.613457151172482,0.673469387755102
premium_pct_spot_quintile,Q2_0.001228_0.001557,111,131.3044115715491,131.9640476621,0.0014048641467107675,0.21596099495684837,78,0.7027027027027027,0.612051056601211,0.7797930138401623,487.1154019365926,4.388427044473807,5.662358194490541,10.647961560198606,-10.406836356330261,2.4184015468811038,55.612180360139604,0.0990990990990991,0.17932988336357047,278.3771905662559,4.418685564543745,0.6984126984126984,208.73821137033661,4.348712736882013,0.7083333333333334
premium_pct_spot_quintile,Q3_0.001557_0.001900,111,161.8232689692784,163.04932687885,0.0017233612922633002,0.20794312498563503,74,0.6666666666666666,0.5746929345584374,0.7474899678044694,550.1088356114187,4.955935455958726,7.0040523621969335,13.8271313465111,-12.786456325146021,2.16277770711475,93.44516708768106,0.11711711711711711,0.14626684298638315,564.8049407231106,7.060061759038881,0.725,-14.696105111691903,-0.47406790682877054,0.5161290322580645
premium_pct_spot_quintile,Q4_0.001900_0.002442,111,193.4610930918847,198.64978723315,0.002133066666519558,0.22129725497909225,82,0.7387387387387387,0.6500060698577332,0.8114991686621063,1019.6746310494342,9.186257937382289,9.91791595656543,16.764815244369018,-12.242766172028462,3.8719975273604916,50.69846731882819,0.07207207207207207,0.21594516091378635,938.2912717011427,12.345937785541352,0.8026315789473685,81.38335934829135,2.3252388385226097,0.6
premium_pct_spot_quintile,Q5_0.002442_inf,111,283.55316168639547,261.08521504475,0.0032842467029100385,0.31301052573280863,77,0.6936936936936937,0.6026578744023888,0.7717709040193678,1915.5706740956466,17.25739346032115,19.01407374357939,32.00213892504419,-16.135118327433972,4.491781888465992,98.26399564680196,0.09009009009009009,0.26535376574085673,1807.4801393191399,21.77686914842338,0.7469879518072289,108.09053477650703,3.8603762420181065,0.5357142857142857
balance,small_leg_lt_20pct,235,159.3242827924185,154.42042845745002,0.0017584889736540212,0.09922553684658365,138,0.5872340425531914,0.5233757938415142,0.6482860942047892,629.5578785680997,2.6789696960344678,4.020726172632722,11.778678411775754,-10.267007652133548,1.6321498559095586,99.99497445437936,0.10212765957446808,0.08047711882574643,545.7560914214274,3.712626472254608,0.6326530612244898,83.80178714667247,0.9522930357576418,0.5113636363636364
